book_name,author_name,book_length
Dead Serious Case #3: Mr Bruce Reyes,Vawn Cassidy,Length: 10 hrs and 36 mins
Lost Clause,Elle Mae,Length: 8 hrs and 55 mins
The Summer I Destroyed You,Elizabeth O'Roark,Length: 8 hrs and 32 mins
Enchanting Exposition,Alice Winters,Length: 8 hrs and 43 mins
Dangerous Affair,Riley Edwards,Length: 7 hrs and 57 mins
The Love You Fight For,Brit Benson,Length: 10 hrs and 45 mins
Crush (Part 2 of 2) (Dramatized Adaptation),Tracy Wolff,Length: 7 hrs and 36 mins
The Knight,Will Wight,Length: Not Yet Known
The One for Me,Corinne Michaels,Length: 9 hrs and 17 mins
Hell for Hire,Rachel Aaron,Length: 10 hrs and 56 mins
Recon,Craig Alanson,Length: 16 hrs and 26 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 36 mins
The Case of the Airborne Invasion,John R. Erickson,Length: 2 hrs and 30 mins
To Catch a Firefly,Emmy Sanders,Length: 9 hrs and 53 mins
Defiance of the Fall 13,"TheFirstDefier,JF Brink",Length: 24 hrs and 35 mins
"River of Fate Omnibus, Books 1-3",David North,Length: 47 hrs and 50 mins
From Pemberley to Gretna Green: A Pride and Prejudice Variation,Laraba Kendig,Length: 10 hrs and 5 mins
The Fifth Victim,D.D. Black,Length: 7 hrs and 58 mins
The Forever Ship,"Scott Bartlett,Joshua James",Length: 18 hrs and 20 mins
Eyes Tight Shut,D.K. Hood,Length: 8 hrs and 41 mins
Foster,Sawyer Bennett,Length: 8 hrs and 21 mins
Guilty Mothers,Angela Marsons,Length: 8 hrs and 31 mins
Late Admissions,Glenn Loury,Length: 18 hrs and 27 mins
Drunk on You,Nikki Ash,Length: 7 hrs and 11 mins
A Team of Six,Brad Lee,Length: 17 hrs and 50 mins
An Assassination on the Agenda,T E Kinsey,Length: 8 hrs and 56 mins
State of Suspense,Marie Force,Length: 11 hrs and 19 mins
Westport,James Comey,Length: 10 hrs and 47 mins
Sunny in Vegas,Theodora Taylor,Length: 8 hrs and 39 mins
The Path of Ascension 6,C. Mantis,Length: 23 hrs and 25 mins
Nemesis,Gregg Hurwitz,Length: 15 hrs
True Crime Storytime,"M. Moore,True Crime Seven",Length: 20 hrs and 35 mins
Entrances and Exits,"Michael Richards,Jerry Seinfeld - foreword",Length: 14 hrs and 45 mins
Forever,Ivy Smoak,Length: 13 hrs and 34 mins
Dark Wolf Unchained,Ryan Evans,Length: 10 hrs and 5 mins
The Diva Goes Overboard,Krista Davis,Length: 8 hrs and 1 min
Bonded in Death,J. D. Robb,Length: 10 hrs and 30 mins
How to Tell the Truth,"Preston Perry,Jackie Hill Perry",Length: 4 hrs and 52 mins
The Keeper,Bella Matthews,Length: 7 hrs and 3 mins
My Secret Portal to a Fantasy World: Book 2,D. Levesque,Length: 8 hrs and 32 mins
Tango Down,Rick Partlow,Length: 6 hrs and 42 mins
See No Evil,Victoria Laurie,Length: 10 hrs and 39 mins
The Radley House Omnibus Books 1-4,Annabelle Hawthorne,Length: 69 hrs and 9 mins
Throne World,B.V. Larson,Length: 12 hrs and 29 mins
Lord of the Dragon Riders,"Turner Tellborn,Marcus Sloss",Length: 12 hrs and 59 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs
Big City Goth GF,Kirk Mason,Length: 6 hrs and 55 mins
The Fall of Cadia,Robert Rath,Length: 19 hrs and 58 mins
What a Fool Believes,"Michael McDonald,Paul Reiser",Length: 10 hrs and 57 mins
